site_name,url,bias_rating,factual_reporting_rating
Battlefords News Optimist,newsoptimist.ca,-2,HIGH
Bay Area Reporter,ebar.com,-19,HIGH
Bbarta24,en.bbarta24.net,-3,HIGH
BBC,bbc.com/news,-7,VERY HIGH
BDNews24,bdnews24.com,-4,HIGH
Bearing Arms,bearingarms.com,27,MIXED
Beijing Review,bjreview.com,-17,HIGH
Being Liberal,themaven.net/beingliberal,-27,HIGH
Being Libertarian,beinglibertarian.com,23,HIGH
Beliefnet,beliefnet.com,21,MIXED
Bellingcat,bellingcat.com,0,HIGH
Berkeleyside,berkeleyside.com,-13,HIGH
Berkshire Eagle,berkshireeagle.com,-11,HIGH
Better Government Association,bettergov.org,-5,HIGH
Big Government News,biggovernment.news/index.html,28,MIXED
Big League Politics,bigleaguepolitics.com,28,MIXED
Big News Network,bignewsnetwork.com,-3,MIXED
Big Think,bigthink.com,-2,VERY HIGH
Billings Gazette,billingsgazette.com,7,HIGH
BillMoyers.com,billmoyers.com,-9,VERY HIGH
Bipartisan Policy Center,bipartisanpolicy.org,9,HIGH
Birmingham Mail,birminghammail.co.uk,-17,MIXED
Bismarck Tribune,bismarcktribune.com,1,HIGH
Bitch Media,bitchmedia.org,-22,HIGH
Bizpac Review,bizpacreview.com,29,MIXED
Black Agenda Report,blackagendareport.com,-22,HIGH
Black Lives Matter,blacklivesmatter.com,-21,HIGH
BlastingNews,us.blastingnews.com,-15,MIXED
Bloomberg News,bloomberg.com,-8,HIGH
Blue Dot Daily,bluedotdaily.com,-30,MIXED
Blue Lives Matter,bluelivesmatter.blue,24,HIGH
Blue Nation Review,bluenationreview.com,-29,MIXED
Blue State Daily,bluestatedaily.com,-28,MIXED
Bluestem Prairie,bluestemprairie.com,-13,HIGH
BNO News,bnonews.com,-3,HIGH
Boing Boing,boingboing.net,-19,HIGH
Boston Globe,bostonglobe.com,-11,HIGH
Boston Herald,bostonherald.com,9,HIGH
Boy Genius Report (BGR),bgr.com,-10,HIGH
Breaking Defense,breakingdefense.com,13,HIGH
Breakthrough Institute,thebreakthrough.org,8,HIGH
Breitbart Unmasked,breitbartunmasked.com,-28,MIXED
Brennan Center for Justice,brennancenter.org,-15,HIGH
BrexitCentral,brexitcentral.com,26,MIXED
Bridge Magazine,bridgemi.com,-2,HIGH
Brief.News,brief.news,-1,HIGH
Brookings Institute,brookings.edu,-14,VERY HIGH
Buffalo News,buffalonews.com,-12,HIGH
Bulletin of the Atomic Scientists,thebulletin.org,-5,VERY HIGH
Bullshido,bullshido.net,-3,HIGH
Burnett County Sentinel,burnettcountysentinel.com,-3,MIXED
Business 2 Community,business2community.com,-2,HIGH
Business Insider,businessinsider.com,-11,HIGH
Bust Magazine,bust.com,-23,HIGH
Bustle Magazine,bustle.com,-14,HIGH
Buzzfeed,buzzfeed.com/news,-17,MIXED
C-Span,c-span.org,-1,VERY HIGH
Calgary Herald,calgaryherald.com,-13,HIGH
Calgary Sun,calgarysun.com,13,HIGH
California Political Review,capoliticalreview.com,14,HIGH
CalWatchdog.com,calwatchdog.com,-8,HIGH
Cambridge Analytica,ca-political.com,26,MIXED
Campaign for Liberty,campaignforliberty.org,17,MIXED
Campaign Life Coalition,campaignlifecoalition.com,30,MIXED
Campus Reform,campusreform.org,23,MIXED
Canadaland,canadalandshow.com,-13,HIGH
Canadian Dimension,canadiandimension.com,-18,HIGH
Canadian Jewish News (CJN),cjnews.com,10,HIGH
Canadian Public Affairs Channel (CPAC),cpac.ca,-1,HIGH
Canadian Taxpayers Federation,taxpayer.com,15,HIGH
Cape Cod Times,capecodtimes.com,-4,HIGH
Capital Gazette,capitalgazette.com,-12,HIGH
Capital Research Center,capitalresearch.org,24,MIXED
Capitol Fax,capitolfax.com,-3,HIGH
Carbonated TV,carbonated.tv,-26,HIGH
Care2,care2.com,-27,MIXED
Caribbean Life News,caribbeanlifenews.com,-13,HIGH
