weights,context,context_len,preprocess,norm,n_neighbors,n_components,umap_metric,cluster_metric,algorithm,cluster_selection_method,value
0.2081274422984688,True,1,True,l2,12,5,manhattan,euclidean,generic,leaf,5,6,0.23395564556121828,group_reps
0.7330653582067574,True,4,False,l1,9,4,chebyshev,euclidean,best,eom,4,3,0.23429090306162834,group_reps
0.8995710297175754,True,1,True,l1,10,5,euclidean,manhattan,best,leaf,5,2,0.24380670785903932,group_reps
0.9560186335255513,False,3,False,l1,15,4,euclidean,euclidean,best,leaf,6,5,0.24657991230487827,group_reps
0.9912972568281669,False,3,True,l1,15,4,euclidean,manhattan,best,leaf,5,5,0.24713508635759354,group_reps
0.8212677679289099,False,4,True,l1,14,2,euclidean,manhattan,best,leaf,4,5,0.24827511906623842,group_reps
0.6448674627699645,False,4,True,none,13,2,euclidean,manhattan,generic,leaf,3,5,0.2503485858440399,group_reps
0.6043450490848893,False,4,True,none,13,2,euclidean,manhattan,generic,leaf,3,4,0.2528108015656471,group_reps
0.7188921045826493,False,3,True,max,5,3,cosine,euclidean,boruvka_kdtree,eom,5,3,0.23469673059880736,group_reps
0.25283287584851055,False,5,True,l1,12,2,euclidean,euclidean,best,leaf,6,6,0.2532213509082794,group_reps
0.2276412437939215,False,5,True,l2,9,2,correlation,manhattan,boruvka_kdtree,leaf,5,5,0.2536831259727478,group_reps
0.38021847633639616,False,2,False,max,12,4,euclidean,cosine,generic,leaf,5,6,0.2599245697259903,group_reps
0.5106475816300414,False,2,False,l1,13,5,euclidean,cosine,generic,leaf,5,6,0.26088612228631974,group_reps
0.9803268955772166,True,l2,13,5,correlation,euclidean,boruvka_kdtree,eom,4,2,0.309056755900383,group_reps
0.7046761198586284,True,l2,14,4,cosine,euclidean,best,eom,3,2,0.3101990014314651,group_reps
0.38550351621299866,True,l2,14,4,cosine,euclidean,best,eom,3,2,0.31203496754169463,group_reps
False,l2,6,2,correlation,cosine,best,eom,5,4,0.0,group_reps
True,max,15,5,cosine,manhattan,generic,eom,5,2,0.2878002643585205,group_reps
True,max,13,4,manhattan,euclidean,boruvka_kdtree,eom,6,3,0.3014141380786896,group_reps
True,l2,14,5,euclidean,manhattan,generic,eom,5,1,0.3050417274236679,group_reps
False,l2,11,5,euclidean,manhattan,best,leaf,3,6,0.31390889585018156,group_reps
False,none,13,3,manhattan,manhattan,best,leaf,3,5,0.31889187693595883,group_reps
False,none,15,3,manhattan,manhattan,best,leaf,4,5,0.3212096154689789,group_reps
False,max,15,4,chebyshev,euclidean,boruvka_kdtree,leaf,4,5,0.3254280894994736,group_reps
True,l1,5,5,cosine,manhattan,prims_kdtree,leaf,0.18873468744019956,5,0.20636986079287536,group_reps
False,l2,10,2,manhattan,manhattan,boruvka_kdtree,leaf,0.2793630938529732,1,0.21909099221229553,group_reps
True,l2,5,2,correlation,euclidean,best,leaf,0.08100202336237698,6,0.2797763559481372,group_reps
True,l2,5,3,cosine,manhattan,best,eom,0.06128438973585591,5,0.3033831059932709,group_reps
False,l1,11,5,euclidean,manhattan,boruvka_kdtree,eom,0.08642193291754204,2,0.306115734577179,group_reps
True,l2,7,4,euclidean,manhattan,generic,eom,0.05139239724435862,2,0.30698336362838746,group_reps
False,l1,7,5,correlation,manhattan,generic,eom,0.05174032620656895,2,0.3120661795139313,group_reps
False,l1,9,5,cosine,manhattan,prims_kdtree,eom,0.051062025414942376,1,0.31317603290081025,group_reps
1.0, False, 1, False,l1,10,5,correlation,manhattan,prims_kdtree,eom,0.05018285872380671,1,0.3141800701618194,group_reps
